,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
184,opazupa,OnlineShop-Redux,opazupa/OnlineShop-Redux,https://github.com/opazupa/OnlineShop-Redux.git,0,0,0,43,1184,2
185,MorganJalil,OnlineMovieShop,MorganJalil/OnlineMovieShop,https://github.com/MorganJalil/OnlineMovieShop.git,0,0,16,61,2940,2
186,noam992,coffee-shop-online,noam992/coffee-shop-online,https://github.com/noam992/coffee-shop-online.git,0,0,0,34,6433,2
187,johannesrehrl,Online-Shopping-Angular-Exercise,johannesrehrl/Online-Shopping-Angular-Exercise,https://github.com/johannesrehrl/Online-Shopping-Angular-Exercise.git,0,0,0,30,109,2
188,brajendrasingh,Angular-4-Portal,brajendrasingh/Angular-4-Portal,https://github.com/brajendrasingh/Angular-4-Portal.git,0,0,0,31,99,2
189,gianLuigiL,wine-shop-angular,gianLuigiL/wine-shop-angular,https://github.com/gianLuigiL/wine-shop-angular.git,1,0,0,33,7902,2
190,basmazaki,OnlineShopping,basmazaki/OnlineShopping,https://github.com/basmazaki/OnlineShopping.git,0,1,40,71,3547,2
191,harpreetsingh19,JeanStation_Online_App_UI,harpreetsingh19/JeanStation_Online_App_UI,https://github.com/harpreetsingh19/JeanStation_Online_App_UI.git,0,0,0,50,8270,2
192,zurgalos,Online-Shop,zurgalos/Online-Shop,https://github.com/zurgalos/Online-Shop.git,0,0,0,135,499,2
193,mahnazmahmoodzade,OnlineShopping,mahnazmahmoodzade/OnlineShopping,https://github.com/mahnazmahmoodzade/OnlineShopping.git,0,0,0,59,185,2
194,dorkian,onlineShop,dorkian/onlineShop,https://github.com/dorkian/onlineShop.git,0,0,0,62,1157,2
195,VictorKostyukov,AngularStore,VictorKostyukov/AngularStore,https://github.com/VictorKostyukov/AngularStore.git,0,0,0,57,632,2
196,syudanardi,Angular-Practice-ShoppApp,syudanardi/Angular-Practice-ShoppApp,https://github.com/syudanardi/Angular-Practice-ShoppApp.git,0,0,20,59,636,2
197,ekaterina-rut,onLineShop_JB_project,ekaterina-rut/onLineShop_JB_project,https://github.com/ekaterina-rut/onLineShop_JB_project.git,0,0,0,25,11525,2
198,jhoncharry,frontend-meang-online-shop-public,jhoncharry/frontend-meang-online-shop-public,https://github.com/jhoncharry/frontend-meang-online-shop-public.git,0,0,0,28,3030,2
199,WiseHands,WiseShop,WiseHands/WiseShop,https://github.com/WiseHands/WiseShop.git,1,2,3,71,163356,2
200,netajik,shopping-cart,netajik/shopping-cart,https://github.com/netajik/shopping-cart.git,0,0,18,43,1597,2
201,rogre77,oShop,rogre77/oShop,https://github.com/rogre77/oShop.git,0,0,2,44,536,2
202,AlekseyTyurin,ng--bike-shop,AlekseyTyurin/ng--bike-shop,https://github.com/AlekseyTyurin/ng--bike-shop.git,0,0,0,31,9354,2
203,alokj10,ng2store,alokj10/ng2store,https://github.com/alokj10/ng2store.git,1,0,0,36,14153,2
204,aleksandar9999a,experience-shop,aleksandar9999a/experience-shop,https://github.com/aleksandar9999a/experience-shop.git,0,0,3,39,7970,2
205,EmilGeorgievIT,eMart,EmilGeorgievIT/eMart,https://github.com/EmilGeorgievIT/eMart.git,1,0,15,35,4784,2
206,raunakgupta2608,oshop,raunakgupta2608/oshop,https://github.com/raunakgupta2608/oshop.git,0,0,2,39,425,2
207,Tysiachnyi,Mobile-Shop,Tysiachnyi/Mobile-Shop,https://github.com/Tysiachnyi/Mobile-Shop.git,0,0,0,35,18,2
208,HaoZ17,Sneaker_Shopping_Website,HaoZ17/Sneaker_Shopping_Website,https://github.com/HaoZ17/Sneaker_Shopping_Website.git,0,0,23,45,4754,2
209,ashwincmenon,e-buyy,ashwincmenon/e-buyy,https://github.com/ashwincmenon/e-buyy.git,0,0,0,41,285,2
210,afolabiopakunle,ecommerce-app,afolabiopakunle/ecommerce-app,https://github.com/afolabiopakunle/ecommerce-app.git,0,0,0,46,219,2
211,patboyrico,tradsonline-frontend,patboyrico/tradsonline-frontend,https://github.com/patboyrico/tradsonline-frontend.git,0,0,0,39,2863,2
212,rusvariag,Portfolio-project-Just-Super-client,rusvariag/Portfolio-project-Just-Super-client,https://github.com/rusvariag/Portfolio-project-Just-Super-client.git,0,0,0,42,1614,2
213,cagcak,shopping-card,cagcak/shopping-card,https://github.com/cagcak/shopping-card.git,0,0,0,54,920,2
214,HaymanLiron,shop,HaymanLiron/shop,https://github.com/HaymanLiron/shop.git,0,0,4,89,916,2
215,mrsoroush,Myshop,mrsoroush/Myshop,https://github.com/mrsoroush/Myshop.git,0,0,0,44,121,2
216,skarlet-witcher,Organic-Shop,skarlet-witcher/Organic-Shop,https://github.com/skarlet-witcher/Organic-Shop.git,0,0,0,47,155,2
217,leohan410,Udemy-Angular.io-Course-Final-Project,leohan410/Udemy-Angular.io-Course-Final-Project,https://github.com/leohan410/Udemy-Angular.io-Course-Final-Project.git,0,0,0,38,31,2
218,vdanyliv,shop,vdanyliv/shop,https://github.com/vdanyliv/shop.git,0,0,0,68,275,2
219,maitabe,angular-online-shop,maitabe/angular-online-shop,https://github.com/maitabe/angular-online-shop.git,0,0,0,0,9,2
220,gkaurbalgir,angular-project-online-shopping,gkaurbalgir/angular-project-online-shopping,https://github.com/gkaurbalgir/angular-project-online-shopping.git,0,0,0,0,34,2
221,esraamamdouh136,Angular-online-shopping,esraamamdouh136/Angular-online-shopping,https://github.com/esraamamdouh136/Angular-online-shopping.git,0,0,0,0,2592,2
222,jasondang1991,online-technology-shop-angular,jasondang1991/online-technology-shop-angular,https://github.com/jasondang1991/online-technology-shop-angular.git,0,0,0,0,51288,2
223,obravocedillo,angular-online-shop,obravocedillo/angular-online-shop,https://github.com/obravocedillo/angular-online-shop.git,0,0,0,0,3332,2
224,asha15,Angularjs-Online-Shopping-Project,asha15/Angularjs-Online-Shopping-Project,https://github.com/asha15/Angularjs-Online-Shopping-Project.git,0,0,0,0,4582,2
225,losk773,online-shop-angular,losk773/online-shop-angular,https://github.com/losk773/online-shop-angular.git,0,0,0,0,181,2
226,Iluzjonista,angular-online-shop,Iluzjonista/angular-online-shop,https://github.com/Iluzjonista/angular-online-shop.git,0,0,0,0,1532,2
227,ebrammamdoh,online-shop-angular,ebrammamdoh/online-shop-angular,https://github.com/ebrammamdoh/online-shop-angular.git,0,0,0,0,164,2
228,denfedweb,angular_online_shop,denfedweb/angular_online_shop,https://github.com/denfedweb/angular_online_shop.git,0,0,0,0,161,2
229,amusinger,online-shop-angular,amusinger/online-shop-angular,https://github.com/amusinger/online-shop-angular.git,0,0,0,0,1086,2
230,lemibbdk,online-shop-angular,lemibbdk/online-shop-angular,https://github.com/lemibbdk/online-shop-angular.git,0,0,0,0,184,2
231,DeniDenx,online-shop-angular,DeniDenx/online-shop-angular,https://github.com/DeniDenx/online-shop-angular.git,0,0,0,19,318,2
232,sarikajain123,online-mobile-shop-angular,sarikajain123/online-mobile-shop-angular,https://github.com/sarikajain123/online-mobile-shop-angular.git,0,0,0,0,287,2
233,rajatrt,oshop,rajatrt/oshop,https://github.com/rajatrt/oshop.git,0,0,0,36,587,2
234,omar-gamel,oshop,omar-gamel/oshop,https://github.com/omar-gamel/oshop.git,0,0,2,50,334,2
235,Sviatique,angular-online-shop,Sviatique/angular-online-shop,https://github.com/Sviatique/angular-online-shop.git,0,0,0,0,25,2
236,Sapendo,Shop_online_angular,Sapendo/Shop_online_angular,https://github.com/Sapendo/Shop_online_angular.git,0,0,0,0,112,2
237,NatiaChubinidze,Angular_Books_Online_Shop,NatiaChubinidze/Angular_Books_Online_Shop,https://github.com/NatiaChubinidze/Angular_Books_Online_Shop.git,0,0,0,0,14633,2
238,AnnaKL,Angular-Top-Online-Shop,AnnaKL/Angular-Top-Online-Shop,https://github.com/AnnaKL/Angular-Top-Online-Shop.git,0,1,0,0,932,2
239,KNehe,OnlineMedicineShop-FrontEnd,KNehe/OnlineMedicineShop-FrontEnd,https://github.com/KNehe/OnlineMedicineShop-FrontEnd.git,0,1,1,50,4397,2
240,akhilreddy18,online-shopping-using-angular,akhilreddy18/online-shopping-using-angular,https://github.com/akhilreddy18/online-shopping-using-angular.git,0,0,0,0,106,2
241,Resha1279,angular-online-shop,Resha1279/angular-online-shop,https://github.com/Resha1279/angular-online-shop.git,0,0,0,0,890,2
242,s-ganji,Online-Shop-Angular,s-ganji/Online-Shop-Angular,https://github.com/s-ganji/Online-Shop-Angular.git,0,0,0,0,309,2
243,Nemchinovrp,Online-Shop-Angular,Nemchinovrp/Online-Shop-Angular,https://github.com/Nemchinovrp/Online-Shop-Angular.git,0,0,0,0,120,2
244,leanhvu86,angular-shop-online,leanhvu86/angular-shop-online,https://github.com/leanhvu86/angular-shop-online.git,0,0,21,0,558,2
245,harikatirunagari,angular-online-shopping-cart,harikatirunagari/angular-online-shopping-cart,https://github.com/harikatirunagari/angular-online-shopping-cart.git,0,0,0,0,62,2
246,AlaaSaadallah,Angular-online-shopping-,AlaaSaadallah/Angular-online-shopping-,https://github.com/AlaaSaadallah/Angular-online-shopping-.git,0,0,0,0,273,2
247,Skoropadskyi,Shop,Skoropadskyi/Shop,https://github.com/Skoropadskyi/Shop.git,0,0,0,77,194,2
248,SantiagoSossa,online-shop,SantiagoSossa/online-shop,https://github.com/SantiagoSossa/online-shop.git,0,0,0,44,145,2
249,youseflkc,online-shop,youseflkc/online-shop,https://github.com/youseflkc/online-shop.git,0,0,0,52,3520,2
250,desali,online-shop,desali/online-shop,https://github.com/desali/online-shop.git,0,0,0,61,7213,2
251,HariPogula,Online-Shopping,HariPogula/Online-Shopping,https://github.com/HariPogula/Online-Shopping.git,0,0,0,40,76,2
252,andreaslanderer,online-shop,andreaslanderer/online-shop,https://github.com/andreaslanderer/online-shop.git,0,0,0,67,11478,2
253,rogerdavila,meang-frontend-online-shop,rogerdavila/meang-frontend-online-shop,https://github.com/rogerdavila/meang-frontend-online-shop.git,0,0,0,40,307,2
254,SarvarKh,online-shop_recipe-book,SarvarKh/online-shop_recipe-book,https://github.com/SarvarKh/online-shop_recipe-book.git,0,1,0,48,551,2
255,Gianni-A,shop-online-client,Gianni-A/shop-online-client,https://github.com/Gianni-A/shop-online-client.git,0,0,19,33,883,2
256,JulzDave,Shopping-Online---MEAN-Stack-Project,JulzDave/Shopping-Online---MEAN-Stack-Project,https://github.com/JulzDave/Shopping-Online---MEAN-Stack-Project.git,0,0,11,31,9278,2
257,megalucio,my-angular2-ecommerce-shop,megalucio/my-angular2-ecommerce-shop,https://github.com/megalucio/my-angular2-ecommerce-shop.git,0,0,0,63,127,2
258,GitHub4Jyo,OnlineShoppingTemplateUsingAngular2js,GitHub4Jyo/OnlineShoppingTemplateUsingAngular2js,https://github.com/GitHub4Jyo/OnlineShoppingTemplateUsingAngular2js.git,0,0,0,113,236,2
259,fatma004,Handistic-Online-Shop,fatma004/Handistic-Online-Shop,https://github.com/fatma004/Handistic-Online-Shop.git,1,1,0,733,23761,2
260,UK-JADHAV,OnlineShoppingWebsite-using-Angular-and-Springboot,UK-JADHAV/OnlineShoppingWebsite-using-Angular-and-Springboot,https://github.com/UK-JADHAV/OnlineShoppingWebsite-using-Angular-and-Springboot.git,1,0,0,59,1903,2
261,damian-kwiecien-zz,OnlineShop-FrontEnd,damian-kwiecien-zz/OnlineShop-FrontEnd,https://github.com/damian-kwiecien-zz/OnlineShop-FrontEnd.git,0,0,0,71,65518,2
262,subashkv,shoppingApp,subashkv/shoppingApp,https://github.com/subashkv/shoppingApp.git,0,0,18,52,2733,2
263,eandres8,nextu-shop-angular,eandres8/nextu-shop-angular,https://github.com/eandres8/nextu-shop-angular.git,0,0,0,51,1020,2
264,bakeroner,angular-shop,bakeroner/angular-shop,https://github.com/bakeroner/angular-shop.git,0,0,0,51,367,2
265,vmnog,angular-shopping,vmnog/angular-shopping,https://github.com/vmnog/angular-shopping.git,0,0,0,55,159,2
266,JaiSan9502,AngularOnlineSareeShoppingAdminSection,JaiSan9502/AngularOnlineSareeShoppingAdminSection,https://github.com/JaiSan9502/AngularOnlineSareeShoppingAdminSection.git,0,0,0,38,138,2
267,nextshubham,online_shop_project_angular6_node,nextshubham/online_shop_project_angular6_node,https://github.com/nextshubham/online_shop_project_angular6_node.git,0,0,0,47,128,2
268,JhosefCardich,online-shop,JhosefCardich/online-shop,https://github.com/JhosefCardich/online-shop.git,0,0,17,149,1964,2
269,mesinkasir,angularshop,mesinkasir/angularshop,https://github.com/mesinkasir/angularshop.git,0,1,0,58,25,2
270,romelljaramillo,shop-angula-nestjs,romelljaramillo/shop-angula-nestjs,https://github.com/romelljaramillo/shop-angula-nestjs.git,0,0,0,41,640,2
271,wachuuu,online-store,wachuuu/online-store,https://github.com/wachuuu/online-store.git,0,1,0,57,507,2
272,sskadam45,angular-tour-online-shopping-cart,sskadam45/angular-tour-online-shopping-cart,https://github.com/sskadam45/angular-tour-online-shopping-cart.git,0,0,0,26,14,2
273,ronnizan,Online-Shop-Angular-Fullstack-App,ronnizan/Online-Shop-Angular-Fullstack-App,https://github.com/ronnizan/Online-Shop-Angular-Fullstack-App.git,0,1,0,0,3183,2
274,andreeadumitru96,online-shop-typescript-angular-node,andreeadumitru96/online-shop-typescript-angular-node,https://github.com/andreeadumitru96/online-shop-typescript-angular-node.git,0,0,0,26,38071,2
275,meital10,Angular-Node.js-Online-Shopping,meital10/Angular-Node.js-Online-Shopping,https://github.com/meital10/Angular-Node.js-Online-Shopping.git,0,0,0,160,2807,2
276,AzariasMacuare,frontend-meang-online-shop,AzariasMacuare/frontend-meang-online-shop,https://github.com/AzariasMacuare/frontend-meang-online-shop.git,0,0,0,50,324,2
277,shimels1,online-shopping-system,shimels1/online-shopping-system,https://github.com/shimels1/online-shopping-system.git,0,0,0,58,1257,2
278,tabdelrhman,Com-Online-Shopping,tabdelrhman/Com-Online-Shopping,https://github.com/tabdelrhman/Com-Online-Shopping.git,0,0,0,65,1225,2
279,andresomargonzalez,front-meang-online-shop,andresomargonzalez/front-meang-online-shop,https://github.com/andresomargonzalez/front-meang-online-shop.git,0,0,0,63,284,2
280,Dev-Integral,alias-online-shop,Dev-Integral/alias-online-shop,https://github.com/Dev-Integral/alias-online-shop.git,0,0,20,51,3322,2
281,DDonamaria,online-shop-frontend,DDonamaria/online-shop-frontend,https://github.com/DDonamaria/online-shop-frontend.git,0,0,0,58,707,2
282,ipanatsia,Online-Shop-Website,ipanatsia/Online-Shop-Website,https://github.com/ipanatsia/Online-Shop-Website.git,0,0,0,46,28,2
283,chukjustin2000,online-Shopping-Ecommerce-Project,chukjustin2000/online-Shopping-Ecommerce-Project,https://github.com/chukjustin2000/online-Shopping-Ecommerce-Project.git,0,0,0,63,2662,2
284,AndreiAndreea,RealEstateOnlineShop,AndreiAndreea/RealEstateOnlineShop,https://github.com/AndreiAndreea/RealEstateOnlineShop.git,0,0,0,57,41774,2
285,prasadnarayana,online-shopping-cart,prasadnarayana/online-shopping-cart,https://github.com/prasadnarayana/online-shopping-cart.git,0,0,19,60,2557,2
286,RuiCastello,Online-Computer-Shop,RuiCastello/Online-Computer-Shop,https://github.com/RuiCastello/Online-Computer-Shop.git,0,0,0,49,1891,2
287,kalpesh09com,AngularProject-Shopping-Cart,kalpesh09com/AngularProject-Shopping-Cart,https://github.com/kalpesh09com/AngularProject-Shopping-Cart.git,0,0,0,76,21150,2
288,AlexJubs,AngularStore,AlexJubs/AngularStore,https://github.com/AlexJubs/AngularStore.git,0,1,0,114,14,2
289,FranklinYu,Mongdim-Angular,FranklinYu/Mongdim-Angular,https://github.com/FranklinYu/Mongdim-Angular.git,0,0,1,47,179,2
290,MdGolam-Kibria,frontendAngular,MdGolam-Kibria/frontendAngular,https://github.com/MdGolam-Kibria/frontendAngular.git,0,1,0,46,2464,2
291,dorhdd,Online_Market-Angular-Node.js-MySQL,dorhdd/Online_Market-Angular-Node.js-MySQL,https://github.com/dorhdd/Online_Market-Angular-Node.js-MySQL.git,0,0,0,134,461,2
292,msalah-mum,Online-shopping,msalah-mum/Online-shopping,https://github.com/msalah-mum/Online-shopping.git,0,0,16,85,2334,2
293,ImamitK,online-shopping,ImamitK/online-shopping,https://github.com/ImamitK/online-shopping.git,0,0,0,114,464,2
294,Roman-H91,online_shop,Roman-H91/online_shop,https://github.com/Roman-H91/online_shop.git,0,0,0,102,31,2
295,Tvido,online-shop,Tvido/online-shop,https://github.com/Tvido/online-shop.git,0,0,0,77,304,2
296,HazemGharib,online-shop,HazemGharib/online-shop,https://github.com/HazemGharib/online-shop.git,0,1,0,73,150,2
297,MosheOz,Online-Shop,MosheOz/Online-Shop,https://github.com/MosheOz/Online-Shop.git,0,0,0,100,3657,2
298,FaronS98,Online-Shop,FaronS98/Online-Shop,https://github.com/FaronS98/Online-Shop.git,0,0,0,82,217,2
299,afieldi,Angular-Ramen-Shop,afieldi/Angular-Ramen-Shop,https://github.com/afieldi/Angular-Ramen-Shop.git,0,0,0,55,141,2
300,cesarfreitas93,shopp-crud-firebase-angular,cesarfreitas93/shopp-crud-firebase-angular,https://github.com/cesarfreitas93/shopp-crud-firebase-angular.git,0,0,0,67,135,2
301,svitlanaf,oShop-angular,svitlanaf/oShop-angular,https://github.com/svitlanaf/oShop-angular.git,0,0,2,56,482,2
302,rizalasrul,angular-mini-shop,rizalasrul/angular-mini-shop,https://github.com/rizalasrul/angular-mini-shop.git,0,1,0,52,530,2
303,IvayloG,igniteui-angular-shop-application,IvayloG/igniteui-angular-shop-application,https://github.com/IvayloG/igniteui-angular-shop-application.git,0,0,0,59,95,2
304,homero456,shopping,homero456/shopping,https://github.com/homero456/shopping.git,0,0,21,51,2569,2
305,skinnydoo,OnlineShop,skinnydoo/OnlineShop,https://github.com/skinnydoo/OnlineShop.git,0,1,31,86,2460,2
306,Dardena7,Resto-Angular-Firebase,Dardena7/Resto-Angular-Firebase,https://github.com/Dardena7/Resto-Angular-Firebase.git,0,0,0,57,458,2
307,loisch22,angular-cli-practice,loisch22/angular-cli-practice,https://github.com/loisch22/angular-cli-practice.git,0,0,0,46,78,2
308,RostyslavStupnytskyi,Adnromeda-Frontend-Angular,RostyslavStupnytskyi/Adnromeda-Frontend-Angular,https://github.com/RostyslavStupnytskyi/Adnromeda-Frontend-Angular.git,0,1,0,107,439,2
309,zeljkolucic,Online-Shop,zeljkolucic/Online-Shop,https://github.com/zeljkolucic/Online-Shop.git,0,0,0,40,10795,2
310,EllieThor,angularShop,EllieThor/angularShop,https://github.com/EllieThor/angularShop.git,0,0,0,139,8356,2
311,burako,ng-little-web-shop,burako/ng-little-web-shop,https://github.com/burako/ng-little-web-shop.git,1,0,0,52,300,2
312,CapstoneProject18,Implementing-Grocery-Store-with-Payment-Gateway-using-Angular,CapstoneProject18/Implementing-Grocery-Store-with-Payment-Gateway-using-Angular,https://github.com/CapstoneProject18/Implementing-Grocery-Store-with-Payment-Gateway-using-Angular.git,2,0,56,467,33954,2
313,Minacava,TheBookShopAngularApp,Minacava/TheBookShopAngularApp,https://github.com/Minacava/TheBookShopAngularApp.git,1,1,0,62,70414,2
314,wojteko22,online-shop,wojteko22/online-shop,https://github.com/wojteko22/online-shop.git,0,0,5,122,640,2
315,yassineDevox,shop-online,yassineDevox/shop-online,https://github.com/yassineDevox/shop-online.git,0,1,0,115,4807,2
316,sarazer,Shopping-online,sarazer/Shopping-online,https://github.com/sarazer/Shopping-online.git,0,0,0,104,4689,2
317,harshita1931,Organic-Shop,harshita1931/Organic-Shop,https://github.com/harshita1931/Organic-Shop.git,0,1,0,45,71,2
318,MingJing2015,ionicShop,MingJing2015/ionicShop,https://github.com/MingJing2015/ionicShop.git,0,1,0,42,2962,2
319,MinhYDev1504,MimiShop,MinhYDev1504/MimiShop,https://github.com/MinhYDev1504/MimiShop.git,0,0,0,72,38155,2
320,Stark2248,Crazy-Shop,Stark2248/Crazy-Shop,https://github.com/Stark2248/Crazy-Shop.git,0,0,0,58,3254,2
321,Aditi3012,E-shopping-,Aditi3012/E-shopping-,https://github.com/Aditi3012/E-shopping-.git,0,1,19,53,69479,2
322,eashwaranRaghu,shop_liver,eashwaranRaghu/shop_liver,https://github.com/eashwaranRaghu/shop_liver.git,0,0,0,52,120,2
323,MedinaAJ,MediShop,MedinaAJ/MediShop,https://github.com/MedinaAJ/MediShop.git,0,1,24,48,12919,2
324,khyatii,online-shopping,khyatii/online-shopping,https://github.com/khyatii/online-shopping.git,0,0,0,27,3359,2
325,DanBlakeman,toy-shop,DanBlakeman/toy-shop,https://github.com/DanBlakeman/toy-shop.git,0,0,0,49,388,2
326,raminarmanfar,sample-shop,raminarmanfar/sample-shop,https://github.com/raminarmanfar/sample-shop.git,0,0,0,54,119,2
327,DavidGasparyan,shop-llc,DavidGasparyan/shop-llc,https://github.com/DavidGasparyan/shop-llc.git,0,0,0,50,322,2
328,davsap,LittleShop,davsap/LittleShop,https://github.com/davsap/LittleShop.git,0,0,0,47,86,2
329,alejandrolaverri,frontend-meang-online-shop,alejandrolaverri/frontend-meang-online-shop,https://github.com/alejandrolaverri/frontend-meang-online-shop.git,0,1,0,104,512,2
330,gliceta,_frontend-meang-online-shop,gliceta/_frontend-meang-online-shop,https://github.com/gliceta/_frontend-meang-online-shop.git,0,0,0,102,1089,2
331,abbie-dev1,Online-Shopping-Store,abbie-dev1/Online-Shopping-Store,https://github.com/abbie-dev1/Online-Shopping-Store.git,0,1,0,62,446,2
332,alijcolina,frontend-meang-online-shop,alijcolina/frontend-meang-online-shop,https://github.com/alijcolina/frontend-meang-online-shop.git,0,0,0,107,1870,2
333,ElSamhaa,Online-Shopping-NodeJS,ElSamhaa/Online-Shopping-NodeJS,https://github.com/ElSamhaa/Online-Shopping-NodeJS.git,1,0,0,74,284,2
334,berngarciamadrid,frontend-meang-online-shop,berngarciamadrid/frontend-meang-online-shop,https://github.com/berngarciamadrid/frontend-meang-online-shop.git,0,0,0,107,220,2
335,MotiTishler,Project4OnlineShop,MotiTishler/Project4OnlineShop,https://github.com/MotiTishler/Project4OnlineShop.git,0,0,0,103,195,2
336,acharyadarshan,quick-bazar-online-shopping-,acharyadarshan/quick-bazar-online-shopping-,https://github.com/acharyadarshan/quick-bazar-online-shopping-.git,0,0,0,67,4782,2
337,MohamedBechir,Shop-Online,MohamedBechir/Shop-Online,https://github.com/MohamedBechir/Shop-Online.git,0,0,3,0,4175,2
338,JhonHurachi,frontend-meang-online-shop,JhonHurachi/frontend-meang-online-shop,https://github.com/JhonHurachi/frontend-meang-online-shop.git,0,0,0,104,602,2
339,FranciscoJavierMartin,MEANG-Online-Shop,FranciscoJavierMartin/MEANG-Online-Shop,https://github.com/FranciscoJavierMartin/MEANG-Online-Shop.git,0,0,0,76,940,2
340,gal2410,Shopping-Online,gal2410/Shopping-Online,https://github.com/gal2410/Shopping-Online.git,0,1,22,5,55789,2
341,lstasp,online-shopping,lstasp/online-shopping,https://github.com/lstasp/online-shopping.git,0,0,0,0,532,2
342,verma151,AngularEcommerce,verma151/AngularEcommerce,https://github.com/verma151/AngularEcommerce.git,0,0,0,87,116,2
343,maciejpajkowski,games-shop,maciejpajkowski/games-shop,https://github.com/maciejpajkowski/games-shop.git,0,0,0,131,2831,2
344,IskraNikolova,AngularProject,IskraNikolova/AngularProject,https://github.com/IskraNikolova/AngularProject.git,0,0,0,91,1677,2
345,Nitai132,online-shop-CLIENT--Angular--SCHOOL-ASSIGNMENT,Nitai132/online-shop-CLIENT--Angular--SCHOOL-ASSIGNMENT,https://github.com/Nitai132/online-shop-CLIENT--Angular--SCHOOL-ASSIGNMENT.git,0,0,0,0,164,2
346,rdm100,Angular_And_Spring_Boot_Online_Shop,rdm100/Angular_And_Spring_Boot_Online_Shop,https://github.com/rdm100/Angular_And_Spring_Boot_Online_Shop.git,0,0,0,0,9012,2
347,RayaLevinson,Angular_Node.js_MySQL_shop_online,RayaLevinson/Angular_Node.js_MySQL_shop_online,https://github.com/RayaLevinson/Angular_Node.js_MySQL_shop_online.git,0,0,0,0,3147,2
348,karthi1987,target-shopping-cart,karthi1987/target-shopping-cart,https://github.com/karthi1987/target-shopping-cart.git,0,0,0,53,36437,2
349,AnastasiiaTk,sweet-shop-frontend,AnastasiiaTk/sweet-shop-frontend,https://github.com/AnastasiiaTk/sweet-shop-frontend.git,0,0,19,53,6465,2
350,HDMercado,frontend-meang-shop,HDMercado/frontend-meang-shop,https://github.com/HDMercado/frontend-meang-shop.git,0,0,0,64,143,2
351,amoignet,ProjetPersoSnowboardShop,amoignet/ProjetPersoSnowboardShop,https://github.com/amoignet/ProjetPersoSnowboardShop.git,0,0,0,45,213,2
352,zaki88-ahmed,shoppingCart-Angular-secuirty,zaki88-ahmed/shoppingCart-Angular-secuirty,https://github.com/zaki88-ahmed/shoppingCart-Angular-secuirty.git,0,0,2,139,559,2
353,alexsantosfilho,SpringBoot-Angular7-Online-Shopping-Store-Front,alexsantosfilho/SpringBoot-Angular7-Online-Shopping-Store-Front,https://github.com/alexsantosfilho/SpringBoot-Angular7-Online-Shopping-Store-Front.git,0,0,19,0,997,2
354,alexeagleson,angular-ecom-shop,alexeagleson/angular-ecom-shop,https://github.com/alexeagleson/angular-ecom-shop.git,0,0,0,95,173,2
355,paulcaseys,angular-shop-boilerplate,paulcaseys/angular-shop-boilerplate,https://github.com/paulcaseys/angular-shop-boilerplate.git,0,0,0,100,143,2
356,AtharvaKalsekar,Angular-Shopping-App,AtharvaKalsekar/Angular-Shopping-App,https://github.com/AtharvaKalsekar/Angular-Shopping-App.git,0,0,2,72,472,2
357,Airbone223,panda-shop-angular,Airbone223/panda-shop-angular,https://github.com/Airbone223/panda-shop-angular.git,0,0,0,75,772,2
358,nayakashu,angular-shopping-app,nayakashu/angular-shopping-app,https://github.com/nayakashu/angular-shopping-app.git,0,0,0,83,115,2
359,abecel22,recipe-hub,abecel22/recipe-hub,https://github.com/abecel22/recipe-hub.git,0,0,0,62,124,2
